Country,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,Democratic Quality,FDI,Birth rate,Population Density
Afghanistan,3.632,7.460143566,0.490880072,52.33952713,0.427010864,-0.106340349,0.954392552,0.261178523,-1.917693496,105375350.3,37.9,53.06017982
Albania,4.586,9.373718262,0.637698293,69.05165863,0.74961102,-0.035140377,0.876134634,0.457737535,0.208455563,1022181235,13.2,104.9910097
Algeria,5.295,9.540244102,0.806753874,65.69918823,0.436670482,-0.194670126,0.699774206,,-1.008261681,616986947.1,22.2,17.04575753
Argentina,6.388,9.843519211,0.906699121,67.53870392,0.831966162,-0.186299905,0.841052473,0.305430293,0.381369591,8958721995,16.7,16.02132942
Armenia,4.321,9.034710884,0.697924912,65.12568665,0.613697052,-0.132166177,0.86468333,0.246900991,-0.609074652,254042619,12.9,102.7071303
Australia,7.272,10.71182728,0.949957848,72.78334045,0.910550177,0.301693261,0.411346525,0.45340696,1.132216096,42917259499,12.1,3.152724488
Austria,7.139,10.71622562,0.906217813,72.35971069,0.890030563,0.124996737,0.518303812,0.43590793,1.05376327,-8253016285,9.5,105.7829494
Azerbaijan,5.201,9.65392971,0.787039399,63.07531357,0.731030464,-0.247480661,0.652539015,0.766583443,-1.236555338,3804927667,15.8,118.0277432
Bahrain,6.105,10.68671322,0.875747144,66.12399292,0.905858517,0.120759174,,,-1.154168129,275709219.9,13.3,1854.565499
Bangladesh,4.5,8.163092613,0.712552786,62.50415421,0.896217167,0.017536195,0.635014474,0.876646459,-0.899546862,2436496980,18.8,1251.753341
Belarus,5.483,9.719829559,0.900255799,66.60596466,0.620979249,-0.130582094,0.654113412,0.447916299,-0.635685742,1391133333,10.3,46.81718496
Belgium,6.927,10.65765381,0.921639085,72.14292908,0.856801987,0.045481469,0.543046057,0.449731916,0.91794914,-7723240183,11.3,374.0388155
Benin,4.141,7.632502556,0.435878992,51.79475021,0.72680825,-0.040269434,0.767234623,0.615089297,0.275336444,140664116.2,35,96.4406468
